单词,音标,中文解释,是否为初中单词
copy,ˈkɒpi,"v.  抄写； 复印； 复制； 模仿， 仿效， 抄袭
n. 抄本，副本；一册，一份",True
corn,kɔ:n,"n. （美）玉米；（英）谷物；[皮肤] 鸡眼
v. 腌；使成颗粒",True
corner,ˈkɔ:nə(r),"n. 角落，拐角处；地区，偏僻处；困境，窘境
v. 囤积；相交成角",True
correct,kəˈrekt,"adj. 正确的，对的；合适的，符合的
v.  改正， 纠正； 校准",True
cost,kɒst,"n. 价格，成本，费用；代价，损失
vt.  价钱为， 使花费； 使付出； 使丧失",True
cough,kɒf,"n. 咳嗽，咳嗽声；咳嗽病
v. 咳出",True
count,kaʊnt,"v. 数，计算；算入；看做，认为；值得考虑，有重要意义
n.  计数， 计算； 总数； 罪状",True
country,ˈkʌntri,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的",True
countryside,ˈkʌntrisaɪd,n. 农村，乡下；乡下的全体居民,True
couple,ˈkʌpl,"n. 对，双；夫妇，情侣；几个人，几件事
vt.  连接， 结合",True
courage,ˈkʌrɪdʒ,n. 勇气，胆量，胆识,True
course,kɔ:s,n.  课程； 过程， 进程； 一道菜； 行动方针， 做法； 路线， 航线,True
cousin,ˈkʌzn,n. 堂兄（弟、姐、妹）；表兄,True
cover,ˈkʌvə(r),"vt. 盖，覆盖；范围为，占；行，走；包括，涉及，适用于；报道，采访；给…保险，使免受损失；掩护
n.  盖子， 套子， 封面； 掩蔽， 掩护",True
crayon,ˈkreɪən,"n. 蜡笔，有色粉笔
v. 以蜡笔作画，用颜色粉笔画",True
crazy,ˈkreɪzi,adj.  疯狂的， 不理智的； 狂热的， 热衷的； 精神失常的,True
create,kriˈeɪt,vt.  创造， 创作， 创建； 引起， 产生,True
crop,krɒp,"v.  种植； 收获， 收割； 修剪； 吃草， 吃去嫩叶； 露出
n. 庄稼，农作物；收获量，收成；一批，一群，一大堆；短发，剪短",True
cross,krɒs,"v. 穿越；相交；画十字；在支票上画两条平行线
adj.  易怒的， 发怒的； 交叉的， 交互的
n. 十字架，十字形的东西；交叉路；苦难",True
crowded,ˈkraʊdɪd,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）",True
cry,kraɪ,"v. 哭；叫，喊；(鸟兽)叫，啼，鸣，嗥
n. 叫，喊；哭；(鸟兽)叫，啼，鸣，嗥",True
culture,ˈkʌltʃə(r),"n. 文化，文明；修养；栽培
v. [细胞][微] 培养（等于cultivate）",True
cup,kʌp,"n. 杯子；奖杯；酒杯
v. 使成杯状；为…拔火罐",True
customer,ˈkʌstəmə(r),n.  主顾， 顾客， 消费者,True
cut,kʌt,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
v. [机] 切割；削减；缩短；刺痛
adj. 割下的；雕过的；缩减的",True
daily,ˈdeɪli,"adj. 日常的；每日的
n. 日报；朝来夜去的女佣
adv. 日常地；每日；天天",True
dance,dɑ:ns,"n. 舞蹈；舞会；舞曲
v. 跳舞；跳跃；飘扬
adj. 舞蹈的；用于跳舞的",True
danger,ˈdeɪndʒə(r),n.  危险； 危险事物； 威胁,True
dangerous,ˈdeɪndʒərəs,adj.  危险的， 不安全的,True
dark,dɑ:k,"adj. 黑暗的，深色的；模糊的；无知的；忧郁的
n. 黑暗；夜；黄昏；模糊",True
date,deɪt,"vi.  起， 始； 进行约会
n. 日期；时期，年代；约会；枣
vt. 给…注明日期；和…约会",True
daughter,ˈdɔ:tə(r),"n. 女儿；[遗][农学] 子代
adj. 女儿的；子代的",True
day,deɪ,"n. 一天；时期；白昼
adv. 每天；经常在白天地
adj. 日间的；逐日的",True
dead,ded,"adv.  完全地； 绝对地
adj. 死的；无感觉的；呆板的
n. 死者",True
deaf,def,adj.  聋的； 不愿听的， 装聋的,True
deal,di:l,"v.  处理， 对付； 给予； 做买卖， 经营
n. 交易，买卖；协议",True
dear,dɪə(r),"adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀
n. 亲爱的人",True
December,dɪ'sembə(r),n. 十二月(略作Dec),True
decide,dɪˈsaɪd,"vi.  决定， 拿定主意； 判决
vt. 决定，对…作出判断；使下决心；解决，裁决",True
decision,dɪˈsɪʒn,n.  决定； 决心； 坚定， 果断,True
deep,di:p,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟",True
degree,dɪˈgri:,n.  度， 度数； 程度； 学位； 地位， 身份,True
delicious,dɪˈlɪʃəs,adj.  美味的； 芬芳的， 怡人的； 有趣的,True
depend,dɪˈpend,vi.  依靠， 依赖； 信赖， 相信； 决定于， 视…而定,True
describe,dɪˈskraɪb,vt.  描述， 描写， 形容,True
desk,desk,n.  书桌， 办公桌,True
develop,dɪˈveləp,v.  发展； 开发； 研制； 成长； 患； 详尽阐述， 发挥； 使显影,True
development,dɪˈveləpmənt,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）；[摄] 显影,True
dialogue,'daɪəlɒɡ,"n. 对话；意见交换
vi. 对话
vt. 用对话表达",True
diary,ˈdaɪəri,n. 日志，日记；日记簿,True
dictionary,ˈdɪkʃənri,n.  词典， 字典,True
die,daɪ,v.  [dying]　死， 死亡； 消失； 停止运行； 渴望； 消,True
difference,ˈdɪfrəns,n.  差异， 差别； 差额； 不和， 分歧,True
different,ˈdɪfrənt,adj. 不同的；个别的，与众不同的,True
difficult,ˈdɪfɪkəlt,adj.  困难的， 艰难的； 难应付的； 难懂的； 不易相处的,True
difficulty,ˈdɪfɪkəlti,n.  困难； 难事， 难题； 困境,True
dig,dɪg,"v. 挖（土等），掘（洞）
n. 挖苦，嘲讽",True
dinner,ˈdɪnə(r),n. (中午或晚上吃的)正餐,True
direct,dəˈrekt,"adv. 直接地
adj. 直接的；率直的；正好的
vt.  把…对准， 针对； 管理， 指导； 给…指路； 指示； 导演， 指挥",True
direction,dəˈrekʃn,n.  方向； 说明； 说明书； 指导,True
director,dəˈrektə(r),n.  指导者； 主管； 董事； 校长； 导演； 指挥,True
discover,dɪˈskʌvə(r),"n. 看出，发现；暴露，显示
vt.  发现， 找到， 发觉",True
discuss,dɪˈskʌs,vt.  讨论， 商议， 议论,True
discussion,dɪˈskʌʃn,n. 讨论，谈论；论述,True
dish,dɪʃ,"n. 盘；餐具；一盘食物；外貌有吸引力的人
v. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话",True
divide,dɪˈvaɪd,"vi. 分开，分叉
vt. 分，分开，分隔；划分；分配；除；使产生分歧
n.  分歧， 分开； 分界线， 分水岭",True
do,du,"n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）",True
doctor,ˈdɒktə(r),"v. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士",True
document,ˈdɒkjumənt,"n. 文件，公文；[计] 文档；证件
v. 用文件证明",True
dog,dɒg,"n. 狗；丑女人；卑鄙的人；(俚)朋友
v. 跟踪；尾随",True
dollar,ˈdɒlə(r),n. 元〔美国、加拿大、澳大利亚等国的货币单位〕,True
door,dɔ:(r),n.  门， 出入口； 家， 户,True
double,ˈdʌbl,"n. 两倍；双精度型
adj. 双重的；两倍的
v. 加倍，加倍努力；快步走
adv. 双重地；两倍地；弓身地",True
down,daʊn,"adv. 向下，下去；在下面
adj. 向下的
n. 软毛，绒毛；[地质] 开阔的高地
prep. 沿着，往下
v. 打倒，击败",True
downstairs,ˌdaʊnˈsteəz,"adv. 在楼下
adj. 楼下的
n. 楼下",True
draw,drɔ:,"v. 吸引，招引；画，描绘；拖，拉；引起，激起；拨出，抽出；提取，支取；推断出；打成平局
n.  平局， 和局； 抽签",True
dream,dri:m,"v. 梦想；做梦，梦见；想到
n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的",True
dress,dres,"v. 穿衣，打扮
n.  女服， 连衣裙； 服装",True
drink,drɪŋk,"v. 喝，饮；吸收；举杯庆贺
n. 酒，饮料；喝酒",True
drive,draɪv,"v. 开车；猛击；飞跑
n. 驱动器；驾车；[心理] 内驱力，推进力；快车道",True
driver,ˈdraɪvə(r),n. 驾驶员；驱动程序；起子；传动器,True
drop,drɒp,"vt. 落下；下降，降低；停止，放弃
n.  下降； 下降的距离； 滴； 微量， 一点点",True
drum,drʌm,"v.  有节奏地敲击
n. 鼓，鼓状物；圆桶",True
dry,draɪ,"adj. 干的；口渴的；枯燥无味的；禁酒的
v. 把…弄干
n. 干涸",True
duck,dʌk,"n. 鸭子；鸭肉；（英）宝贝儿；零分
v. 闪避；没入水中",True
dumpling,ˈdʌmplɪŋ,n. 饺子，汤团；面团布丁,True
during,ˈdjʊərɪŋ,"prep. 在…的时候，在…的期间
n. (During)人名；(法)迪兰；(瑞典、利比)杜林",True
each,i:tʃ,"adj. 每；各自的
adv. 每个；各自
pron. 每个；各自",True
ear,ɪə(r),"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗",True
early,ˈɜ:li,"adj. 早期的；早熟的
adv. 提早；在初期
n. (Early)人名；(英)厄尔利",True
earth,ɜ:θ,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
v. 把（电线）[电] 接地；盖（土）；追赶入洞穴",True
earthquake,ˈɜ:θkweɪk,"n. 地震, [喻]在震荡, 在变动",True
east,i:st,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方",True
eastern,ˈi:stən,"adj. 东方的；朝东的；东洋的
n. 东方人；（美国）东部地区的人",True
easy,ˈi:zi,"adj. 容易的；舒适的
adv. 不费力地，从容地
vi. 停止划桨
vt. 发出停划命令",True
eat,i:t,v.  [ate-eaten] 吃， 吃饭,True
edge,edʒ,"v.  徐徐移动； 略为增加； 给…加边
n. 边，边缘；刀口，刃；优势",True
education,ˌedʒuˈkeɪʃn,n.  教育， 培养； 训练,True
effort,ˈefət,n.  努力， 尝试； 努力的成果， 成就,True
egg,eg,"n. 蛋；卵子；家伙；鸡蛋
v. 煽动；怂恿",True
eight,eɪt,"num. 八；八个；第八
adj. 八的
n. 八字形",True
eighteen,ˌeɪˈti:n,"n. 十八，十八个
adj. 十八个的，十八的
num. 十八",True
eighth,eɪtθ,"adj. 第八的；八分之一的
num. 第八；八分之一",True
eighty,ˈeɪti,"n. 八十；八十岁；八十年代
adj. 八十的，八十个的；八十岁的
num. 八十",True
either,ˈaɪðə(r),"adj. 两者之中任一的；两者之中每一的
prep. 任何一个
conj. 也（用于否定句或否定词组后）；根本
pron. 任一，两方，随便哪一个；两者中的一个或另一个",True
elder,ˈeldə(r),"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的",True
electric,ɪˈlektrɪk,"adj. 电的；电动的；发电的；导电的；令人震惊的
n. 电；电气车辆；带电体",True
electricity,ɪˌlekˈtrɪsəti,n.  电力； 电学； 强烈的紧张情绪,True
electronic,ɪˌlekˈtrɒnɪk,"adj. 电子的
n.  电子学； 电子设备",True
elephant,ˈelɪfənt,n. 象；大号图画纸,True
eleven,ɪˈlevn,"n. 十一；十一个
adj. 十一的；十一个的
num. 十一；十一个",True
else,els,"adv. 其他；否则；另外
adj. 别的；其他的
n. (Else)人名；(英)埃尔斯；(德)埃尔泽；(芬、丹)埃尔塞",True
empty,ˈempti,"adj. 空的；无意义的；无知的；徒劳的
v. 使失去；使…成为空的
n. 空车；空的东西",True
encourage,ɪnˈkʌrɪdʒ,vt.  鼓励， 怂恿； 促进， 助长， 激发,True
end,end,"v.  结束， 终止
n. 最后部分，末尾；死亡；终止，结局；结果，目标",True
enemy,ˈenəmi,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的",True
English,'iŋgliʃ,"adj. 英国人的；英国的；英文的
n. 英语；英国人；英文；英格兰人
vt. 把…译成英语",True
enjoy,ɪnˈdʒɔɪ,v.  欣赏， 享受…之乐趣； 喜欢,True
enjoyable,ɪnˈdʒɔɪəbl,adj. 快乐的；有乐趣的；令人愉快的,True
enough,ɪˈnʌf,"adv. 足够地，充足地
n. 很多；充足
adj. 充足的
int. 够了！",True
enter,ˈentə(r),"vi.  进入， 进去
vt. 进入；参加；登记，登录；把…编入；开始从事",True
entry,ˈentri,n. 进入；入口；条目；登记；报关手续；对土地的侵占,True
environment,ɪnˈvaɪrənmənt,n.  环境， 周围状况； 自然环境,True
eraser,ɪˈreɪzə(r),n. 橡皮；擦除器；[计] 清除器,True
escape,ɪˈskeɪp,"v. 逃避，避开，避免；被忘掉；被忽视
n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏",True
especially,ɪˈspeʃəli,adv. 尤其；特别，格外；专门地，主要地,True
European,.juәrә'pi:әn,"adj. 欧洲的，欧洲人的
n.  欧洲人",True
even,ˈi:vn,"adj. [数] 偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
v. 使平坦；使相等
n. (Even)人名；(法)埃旺；(德)埃文；(英)埃文",True
evening,ˈi:vnɪŋ,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）",True
ever,ˈevə(r),"adv. 永远；曾经；究竟
n. (Ever)人名；(英)埃弗；(俄)叶韦尔；(西、法)埃韦尔",True
every,ˈevri,"adj. 每一的，每个的；每隔…的
n. (Every)人名；(英)埃夫里",True
everybody,ˈevribɒdi,pron.  每人， 人人， 各人,True
everyday,ˈevrideɪ,"adj. 每天的，日常的
n. 平时；寻常日子",True
everyone,ˈevriwʌn,"pron. 每个人；人人
n. 每个人",True
everything,ˈevriθɪŋ,pron. 每件事物；最重要的东西；（有关的）一切；万事,True
everywhere,ˈevriweə(r),adv.  到处， 各处， 无论何处,True
exact,ɪgˈzækt,"adj. 准确的，精密的；精确的
v. 要求；强求；急需",True
exactly,ɪgˈzæktli,adv. 恰好地；正是；精确地；正确地,True
example,ɪgˈzɑ:mpl,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例",True
excellent,ˈeksələnt,adj.  优秀的， 卓越的， 杰出的,True
except,ɪkˈsept,"v. 不计；把…除外
prep. 除…之外
conj. 除了；要不是",True
excuse,ɪkˈskju:s,"vt. 原谅，宽恕；免除责任；为…辩解，作为开脱…的理由
n.  借口； 辩解",True
exercise,ˈeksəsaɪz,"n. 运动；练习；运用；操练；礼拜；典礼
v. 锻炼；练习；使用；使忙碌；使惊恐",True
exhibition,ˌeksɪˈbɪʃn,n. 展览，显示；展览会；展览品,True
expect,ɪkˈspekt,vt.  期待， 盼望； 认为； 预料， 预计…可能发生； 要求， 认为…必要,True
expensive,ɪkˈspensɪv,adj.  昂贵的， 高消费的,True
experience,ɪkˈspɪəriəns,"n. 经验；阅历，经历；体验
vt.  体验， 经历； 感受",True
experiment,ɪkˈsperɪmənt,"v. 尝试；进行实验
n. 实验，试验；尝试",True
explain,ɪkˈspleɪn,v.  解释， 说明， 阐明； 辩解,True
eye,aɪ,"n. 眼睛；视力；眼光；见解，观点
v. 注视，看",True
face,feɪs,"n. 脸；面容；表情；面子；正面
vt.  面向； 面对， 朝； 正视； 面临",True
fact,fækt,n. 事实；实际；真相,True
factory,ˈfæktri,n. 工厂；制造厂；代理店,True
fail,feɪl,"v. 失败，不及格；破产；缺乏；衰退
n. 不及格",True
fair,feə(r),"adj. 公平的；美丽的，白皙的；[气象] 晴朗的
adv. 公平地；直接地；清楚地
v. 转晴
n. 展览会；市集；美人",True
fairly,ˈfeəli,"adv. 相当地；公平地；简直
n. (Fairly)人名；(英)费尔利",True
fall,fɔ:l,v.  [fell-fallen] 落下， 降落； 跌倒， 塌倒； 降临， 来临； 失势， 垮台； 下垂， 倾,True
family,ˈfæməli,"n. 家庭；亲属；家族；子女；[生]科；语族；[化]族
adj. 家庭的；家族的；适合于全家的",True
famous,ˈfeɪməs,adj. 著名的；极好的，非常令人满意的,True
fan,fæn,"v.  煽动， 激起
n. 扇子；扇形物；狂热爱好者，迷",True
fantastic,fænˈtæstɪk,adj.  极好的， 极出色的； 了不起的； 极大的； 难以相信的； 异想天开的， 不实际的； 奇异的， 古怪的,True
far,fɑ:(r),"adv. 很；遥远地；久远地；到很远的距离；到很深的程度
adj. 远的；久远的
n. 远方",True
farm,fɑ:m,"v. 种田，务农；经营农场
n. 农场；农家；畜牧场",True
farmer,ˈfɑ:mə(r),n. 农民，农夫；农场主,True
fast,fɑ:st,"adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
v. 禁食，斋戒
n. 斋戒；绝食",True
fat,fæt,"adj. 肥的，胖的；油腻的；丰满的
n. 脂肪，肥肉
v. 养肥；在…中加入脂肪",True
father,ˈfɑ:ðə(r),"n. 父亲，爸爸；神父；祖先；前辈
v. 发明，创立；当…的父亲",True
favourite,ˈfeɪvərɪt,"adj. 特别喜欢的，宠爱的
n.  特别喜欢的人或物； 亲信",True
fear,fɪə(r),"n. 害怕；恐惧；敬畏；担心
v. 害怕；敬畏；为…担心",True
February,'februəri,n. 二月(略作Feb),True
feed,fi:d,"v. 喂养；供给；放牧；抚养（家庭等）；靠…为生
n. 饲料；饲养；（动物或婴儿的）一餐",True
feel,fi:l,"vi. 摸索，寻找
v.  觉得； 摸起来
vt. 感觉；触摸；认为",True
feeling,ˈfi:lɪŋ,"n. 感觉，触觉；感情，情绪；同情
adj. 有感觉的；有同情心的；富于感情的
v. 感觉；认为（feel的现在分词）；触摸",True
festival,ˈfestɪvl,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的",True
